index	image	caption
10063	286660725_ffdbdf3481.jpg	two house and fire
10662	2076865206_53918c820c.jpg	a man fish 
20583	534886684_a6c9f40fa1.jpg	young man walking dog
26050	2521938802_853224f378.jpg	a cricket batsman swinging
16348	2058091220_2087270068.jpg	a parachutist land 
27225	3527926597_45af299eee.jpg	a young boy skateboarding
3809	487487795_54705c406e.jpg	two dog playing 
20558	2268729848_d418451226.jpg	kid riding the subway
37434	3357416302_fcfcdd7b86.jpg	a snowboarder in midair
27894	3477369101_8e0c61d8f4.jpg	dog rolling in grass
12145	3609026563_9c66f2dc41.jpg	a man holding puppy
25983	857914283_270d7d1c87.jpg	two boy fight 
14709	240583223_e26e17ee96.jpg	a running golden retriever
12150	3510218982_318f738b76.jpg	a man practice boxing
29998	3721799573_2f470950e0.jpg	two girlfriend smiling 
38331	2552816307_c7c8e7f6b4.jpg	two dog swimming 
30004	3635194562_4c1dfa120a.jpg	a small child fingerpaint
28795	3071676551_a65741e372.jpg	a person surfing 
27409	2892395757_0a1b0eedd2.jpg	funky bicycle being raced
34187	3547704737_57d42d5d9d.jpg	a man running 
35704	457945610_1a23b9ced0.jpg	girl jumping over wave
30667	3295418287_5d590dac43.jpg	a chinese festival 
16115	3517127930_5dbddb45f6.jpg	batter hit a baseball
6888	3589367895_5d3729e3ea.jpg	indian wearing headgear speaks
29979	2647229826_e0e0c65ef1.jpg	child playing leapfrog 
1054	1280320287_b2a4b9b7bd.jpg	two boy wakeboard 
39821	1541272333_1624b22546.jpg	dog kicking up dirt
35757	2099323664_bb20457f26.jpg	dog leap out 
24471	3316725440_9ccd9b5417.jpg	a biker race 
35789	2554531876_5d7f193992.jpg	a motorcycle race 
35791	3544803461_a418ca611e.jpg	two men box 
13125	2257631407_1529b9db39.jpg	kid playing around 
12234	219843860_332e5ca7d4.jpg	a man rock climbing
16430	3578981202_efef47e264.jpg	a baby laugh 
28757	3256456935_664a7a5bba.jpg	kid practicing karate move
37319	3041487045_b48ac7ed08.jpg	a tan dog running
25275	3361411074_83f27d2a1c.jpg	a dog running uphill
2047	3497069793_2d4baf5b4b.jpg	a girl bounce 
37164	1384292980_4022a7520c.jpg	two woman walking 
26268	49553964_cee950f3ba.jpg	a man windsurfing 
8873	3473264983_67917a931f.jpg	a paintball team shoot
16816	179829865_095b040377.jpg	a man waterskies 
18937	3435653630_3b6cca2c40.jpg	basketball player huddle 
1616	172092464_d9eb4f4f2f.jpg	blond boy waterskiing 
40022	3452982513_36f2bc81fa.jpg	a snowboarder riding downhill
13299	166507476_9be5b9852a.jpg	two lizard fighting 
32210	3209350613_eb86579ee8.jpg	a guy skateboarding 
4027	1809796012_a2dac6c26b.jpg	a boy jump 
34887	3085226474_62aba51179.jpg	people in a dance
4922	2252299132_14ca6e584b.jpg	a boy walk 
13263	3628103548_2708abcda2.jpg	a band performs 
32161	2700147489_f1664f2b61.jpg	a skateboarder ollies 
14460	2449289139_08fc1092c1.jpg	a dog running 
6421	207584893_63e73c5c28.jpg	a small parasail 
14588	3595080592_5fd55570e5.jpg	two child smile 
9004	3373069977_bc73e9e409.jpg	two snowboarder jump 
27163	3724581378_41049da264.jpg	surfer riding a wave
