	image	caption
0	3046286572_d2050ab0d9.jpg	a bicycler doe a trick in the air and his shadow is captured on the ceiling 
1	2928152792_b16c73434a.jpg	the girl is hanging off of the tractor equipment 
2	3564738125_10400f69c0.jpg	two climber are wearing backpack ascending a very snowy mountain 
3	502884177_25939ac000.jpg	an old lady walk down the street 
4	424506167_01f365726b.jpg	two dog standing in the field 
5	3046430047_d7b10123d0.jpg	three people wearing dark costume and makeup pose for a picture 
6	3315250232_83e24a2d51.jpg	person in dark slack and top walking towards wooded area 
7	3138504165_c7ae396294.jpg	a hockey player in a yellow jersey is guarding the goal 
8	3657503733_9888ccf05e.jpg	a mountain biker doe a trick on a forest path 
9	1396703063_e8c3687afe.jpg	a man in a hat  white shirt and gold chain with a cross 
10	3540515072_8c951b738b.jpg	the furry brown dog is jumping on the concrete 
11	246094557_e174a5914f.jpg	a girl train her white dog with treat 
12	3392851587_a638ff25e2.jpg	two girl are enjoying themselves on a spinning platform 
13	3271178748_630d269811.jpg	number 13 kick a soccer ball towards the goal during child s soccer game 
14	537628742_146f2c24f8.jpg	a little girl running in a field
15	3638688673_176f99d7fd.jpg	a young boy swing in the air 
16	2508313118_524e93d48c.jpg	a brown dog squating on grass 
17	3154152744_4e93ec8a62.jpg	two dog are chewing at a red object whilst running in the snow 
18	2394763838_99d1435b85.jpg	a golden colored dog jump around in the grass while holding a stick in it mouth 
19	3620343911_64a862904e.jpg	a young boy and a young girl in bathing suit 
20	2637904605_fc355816fc.jpg	a black and white dog bound through a field 
21	2964438493_413667c04a.jpg	a tan dog play with a white dog in a baby pool 
22	3547499166_67fb4af4ea.jpg	two girl and a boy perform a dance 
23	3433982387_3fa993cf5a.jpg	a young girl in a white dress watch bubble while a woman and girl toddler observe 
24	3624676866_8f6d0efcc9.jpg	a large group of brighty clothed dancer taking photograph 
25	2959581023_54402c8d88.jpg	a person fall into the water near some rock 
26	2436160351_108924a65b.jpg	two small boy are wearing red short and yellow sleeveless shirt 
27	2315807231_6948b3f3a5.jpg	a brown dog squat in a deep pile of snow 
28	2604825598_593a825b5b.jpg	two brown and white dog  one jumping over a log while the one behind run through the grass 
29	3545427060_c16a8b7dfd.jpg	three indian child playing in water 
