	caption
0	a bicycler doe a trick in the air and his shadow is captured on the ceiling 
1	the girl is hanging off of the tractor equipment 
2	two climber are wearing backpack ascending a very snowy mountain 
3	an old lady walk down the street 
4	two dog standing in the field 
5	three people wearing dark costume and makeup pose for a picture 
6	person in dark slack and top walking towards wooded area 
7	a hockey player in a yellow jersey is guarding the goal 
8	a mountain biker doe a trick on a forest path 
9	a man in a hat  white shirt and gold chain with a cross 
10	the furry brown dog is jumping on the concrete 
11	a girl train her white dog with treat 
12	two girl are enjoying themselves on a spinning platform 
13	number 13 kick a soccer ball towards the goal during child s soccer game 
14	a little girl running in a field
15	a young boy swing in the air 
16	a brown dog squating on grass 
17	two dog are chewing at a red object whilst running in the snow 
18	a golden colored dog jump around in the grass while holding a stick in it mouth 
19	a young boy and a young girl in bathing suit 
20	a black and white dog bound through a field 
21	a tan dog play with a white dog in a baby pool 
22	two girl and a boy perform a dance 
23	a young girl in a white dress watch bubble while a woman and girl toddler observe 
24	a large group of brighty clothed dancer taking photograph 
25	a person fall into the water near some rock 
26	two small boy are wearing red short and yellow sleeveless shirt 
27	a brown dog squat in a deep pile of snow 
28	two brown and white dog  one jumping over a log while the one behind run through the grass 
29	three indian child playing in water 
30	gold and white dog catching a tennis ball in it mouth 
31	group of school child in blue school uniform 
32	young girl ballerina in white tutu on a stage 
33	a bike jump through the air 
34	two dog are running in the water while a man watch from the dock 
35	a little boy run around while others look at a stage 
36	three people in a boat float on the water at sunset 
37	large brown dog playing with a white soccer ball in the grass 
38	two men touch their head together and smile 
39	a man on an escalator carrying a red and white cup looking up 
40	a big dog stand on his hand leg a tennis ball are thrown his direction 
41	people are riding a blue roller coasterlike ride with wide seating mechanism 
42	a dog jump for the woman s treat 
43	a man on a bmx 
44	a little boy is petting a very large sleeping dog 
45	a person jump up over the snow a their ski cross 
46	several people and dog are in or near a large outdoor swimming pool 
47	a boy in a party hat splash in the water 
48	a man ride a bicycle on a rocky path beside a lake in the mountain 
49	a collie play with a white ball in a field of green grass 
50	two men jump for the basketball 
51	a boy jump into water while another watch 
52	a group of people play a game in the street  passing balloon to one another
53	a black and white dog near a grey and white dog on beige carpet 
54	a scuba diver emerges from the water and pull himself onto the rock 
55	a play just beginning during a football game 
56	the florida basketball player is preparing to shoot the ball 
57	people are playing water volleyball 
58	a woman wearing sunglass on her head looking down 
59	a rock climber pause to look out over the ocean 
60	a dog run through the grass with it tongue hanging out 
61	a child swing high with tree in the background 
62	two child in school uniform chasing bird on a brick paved street 
63	a leatherclad man ride a bicycle down a street
64	a mountain hiker is digging steak into the thck snow 
65	a man on a bmx bike catch massive air while someone is taking a picture
66	a person in a biking suit ride a bike down a hill 
67	two dog with tree in the background 
68	oklahoma university s sooner football team playing against a rival 
69	a young boy sliding down an inflatable  is looking off camera 
70	a man and his dog walk on the ice of a frozen pond 
71	a girl sits on the side of a large mountain with one leg hanging off 
72	a group of men struggle to catch the ball in the air 
73	a young girl is wearing a blue patterned swimsuit  a black and yellow swim cap and ha blue swim goggles on her head 
74	a number eight racing dog is beating a number four racing dog slightly in a race 
75	a man in yellow stand in a garbage strewn underpass 
76	a dark brown dog jump behind a young girl in short 
77	a child in a fuzzy blue hat on a tricycle 
78	a group of people are standing in a field flying kite 
79	two mother are pushing baby stroller a the dog run down 
80	a man in blue short is laying in the street 
81	a group of child dressed in costume pose for a picture 
82	two black and white dog and one ha something blue in it mouth 
83	a black and white dog is running through the grass 
84	a group of dog playing
85	a man in a red costume is talking to a girl in a snow white costume 
86	two men standing near a city street in the winter 
87	a brown and white dog is standing in shallow water on a beach near a large rock outcrop 
88	five boy smile for the picture 
89	the two tan colored dog are in a field  and one is jumping in the air 
90	two tan dog playing together in a fenced yard 
91	two older female taking picture with their camera while another older female watch 
92	a baby with two finger up it nose  covered in chocolate pudding
93	a man with dreadlock is plugging his ear to hear a phone call 
94	a dog enjoys a romp in the water with mountain and sand in the background 
95	two black dog run through a field 
96	a young girl holding a boogie board at the beach
97	a red furred dog run on an obstacle course 
98	a group of people are backpacking through the wood and snow 
99	a brown dog jumping into the air to catch a ball 
100	a dog with white paw jumping up onto a girl wearing a blue shirt and yellow short 
101	a boy skateboard down the railing of some graffiti stair
102	a woman holding a baby hanging from a branch and a small child hanging on that same branch 
103	a man sits in a chair smoking a cigarette 
104	a man playing with a ball toy with his brown dog 
105	an upside down man doing a flip on a waterski board
106	two people wearing backpack and a woman in red short are standing on some large rock formation 
107	a young boy run after some chicken 
108	a woman swinging her head out of the water
109	a man muscular man wearing an orange shirt is being kissed on the cheek by a blond woman wearing a black shirt 
110	the basketball player in white is dribbling the ball towards the player in black 
111	men in uniform run along a track 
112	three people sit at an outdoor table in front of a building painted like the union jack 
113	a basketball player try to block another 
114	a man jump off of one rooftop onto another 
115	an upsidedown child above a trampoline 
116	a biker in protective gear is riding through a countryside with cliff 
117	a hiker standing on a bluff high in the mountain 
118	a black dog carrying something through the grass 
119	large furry dog walking in the sand near large rock 
120	two large dog bound through a field 
121	a small dog trying to catch a red ball outside
122	a young man sitting and petting his dog
123	a basketball team of 8 girl is doing a hand huddle 
124	a small boy leap from one bed to another 
125	a black and white dog is running over grass 
126	two individual dressed up like animal are posing for the camera 
127	some people are sitting and others are standing next to a false wall in an art gallery 
128	two twin girl playing with a toy in the driveway
129	a little girl in a red dress is carrying shopping bag 
130	a girl is riding a bike and everyone is rushing by her in the city 
131	a football player kick the ball 
132	woman is small top and skirt pose for the camera 
133	five dog are on a track racing each other 
134	a black and white dog is playing with a tan dog 
135	two young girl play together in a mall 
136	child sporting their florida dolphin cap 
137	a golden retreiver standing outside in the snow with a person standing with ski and pole 
138	there is a brown dog swimming outside with a tennis ball in it mouth 
139	five girl cheerleading 
140	a wakeboarder is leaping into the air whilst holding onto a pink rope 
141	a boy run while another family is standing by 
142	a boy is skating along a ledge in an indoor skate center 
143	a group of child playing in a water fountain 
144	a teenage boy doe trick on his bicycle 
145	a crowd of people are gathered with a sky scene in the background 
146	a boy on a black skateboard going down a ramp with a white building behind him
147	the guy in red on a dirt bike is getting photographed 
148	picture of a campsite with a big green tent 
149	a boy lean on a baseball bat and hold out one arm outstreached 
150	the man wearing the brown jacket is holding a cigarette and the man behind him is holding a can of beer 
151	the black dog catch a toy in it mouth while running in the field 
