	caption
0	A child in a pink dress is climbing up a set of stairs in an entry way .
1	A girl going into a wooden building .
2	A little girl climbing into a wooden playhouse .
3	A little girl climbing the stairs to her playhouse .
4	A little girl in a pink dress going into a wooden cabin .
5	A black dog and a spotted dog are fighting
6	A black dog and a tri-colored dog playing with each other on the road .
7	A black dog and a white dog with brown spots are staring at each other in the street .
8	Two dogs of different breeds looking at each other on the road .
9	Two dogs on pavement moving toward each other .
10	A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
11	A little girl is sitting in front of a large painted rainbow .
12	A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
13	There is a girl with pigtails sitting in front of a rainbow painting .
14	Young girl with pigtails painting outside in the grass .
15	A man lays on a bench while his dog sits by him .
16	A man lays on the bench to which a white dog is also tied .
17	a man sleeping on a bench outside with a white and black dog sitting next to him .
18	A shirtless man lies on a park bench with his dog .
19	man laying on bench holding leash of dog sitting on ground
20	A man in an orange hat starring at something .
21	A man wears an orange hat and glasses .
22	A man with gauges and glasses is wearing a Blitz hat .
23	A man with glasses is wearing a beer can crocheted hat .
24	The man with pierced ears is wearing glasses and an orange hat .
25	A child playing on a rope net .
26	A little girl climbing on red roping .
27	A little girl in pink climbs a rope bridge at the park .
28	A small child grips onto the red ropes at the playground .
29	The small child climbs on a red ropes on a playground .
30	A black and white dog is running in a grassy garden surrounded by a white fence .
31	A black and white dog is running through the grass .
32	A Boston terrier is running in the grass .
33	A Boston Terrier is running on lush green grass in front of a white fence .
34	A dog runs on the green grass near a wooden fence .
35	A dog shakes its head near the shore , a red ball next to it .
36	A white dog shakes on the edge of a beach with an orange ball .
37	Dog with orange ball at feet , stands on shore shaking off water
38	White dog playing with a red ball on the shore near the water .
39	White dog with brown ears standing near water with head turned to one side .
40	A boy smiles in front of a stony wall in a city .
41	A little boy is standing on the street while a man in overalls is working on a stone wall .
42	A young boy runs aross the street .
43	A young child is walking on a stone paved street with a metal pole and a man behind him .
44	Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
45	A black dog leaps over a log .
46	A grey dog is leaping over a fallen tree .
47	A large black dog leaps a fallen log .
48	A mottled black and grey dog in a blue collar jumping over a fallen tree .
49	The black dog jumped the tree stump .
50	A brown and white dog is running through the snow .
51	A dog is running in the snow
52	A dog running through snow .
53	a white and brown dog is running through a snow covered field .
54	The white and brown dog is running over the surface of the snow .
55	A man in a hat is displaying pictures next to a skier in a blue hat .
56	A man skis past another man displaying paintings in the snow .
57	A person wearing skis looking at framed pictures set up in the snow .
58	A skier looks at framed pictures in the snow next to trees .
59	Man on skis looking at artwork for sale in the snow
60	A collage of one person climbing a cliff .
61	A group of people are rock climbing on a rock climbing wall .
62	A group of people climbing a rock while one man belays
63	Seven climbers are ascending a rock face whilst another man stands holding the rope .
64	Several climbers in a row are climbing the rock while the man in red watches and holds the line .
65	A brown dog chases the water from a sprinkler on a lawn .
66	a brown dog plays with the hose .
67	A brown dog running on a lawn near a garden hose
68	A dog is playing with a hose .
69	Large brown dog running away from the sprinkler in the grass .
70	A dog prepares to catch a thrown object in a field with nearby cars .
71	A white dog is about to catch a yellow ball in its mouth .
72	A white dog is about to catch a yellow dog toy .
73	A white dog is ready to catch a yellow ball flying through the air .
74	A white dog running after a yellow ball
75	a black and white dog jumping in the air to get a toy .
76	A black and white dog jumps up towards a yellow toy .
77	A dog leaps to catch a ball in a field .
78	A white dog is trying to catch a ball in midair over a grassy field .
79	The white dog is playing in a green field with a yellow toy .
80	A child and a woman are at waters edge in a big city .
81	a large lake with a lone duck swimming in it with several people around the edge of it .
82	A little boy at a lake watching a duck .
83	A young boy waves his hand at the duck in the water surrounded by a green park .
84	Two people are at the edge of a lake , facing the water and the city skyline .
85	A couple and an infant , being held by the male , sitting next to a pond with a near by stroller .
86	A couple sit on the grass with a baby and stroller .
87	A couple with their newborn baby sitting under a tree facing a lake .
88	A man and woman care for an infant along the side of a body of water .
89	Couple with a baby sit outdoors next to their stroller .
90	A black dog running in the surf .
91	A black lab with tags frolicks in the water .
92	A dog splashes in the water
93	The black dog runs through the water .
94	This is a black dog splashing in the water .
95	A man drilling a hole in the ice .
96	A man is drilling through the frozen ice of a pond .
97	A person in the snow drilling a hole in the ice .
98	A person standing on a frozen lake .
99	Two men are ice fishing .
100	Two different breeds of brown and white dogs play on the beach .
101	Two dogs are making a turn on a soft sand beach .
102	Two dogs playing in the sand at the beach .
103	Two dogs playing together on a beach .
104	Two large tan dogs play along a sandy beach .
105	A man uses ice picks and crampons to scale ice .
106	an ice climber in a blue jacket and black pants is scaling a frozen ice wall .
107	An ice climber scaling a frozen waterfall .
108	A person in blue and red ice climbing with two picks .
109	Climber climbing an ice wall
110	A black dog carries a green toy in his mouth as he walks through the grass .
111	A black dog carrying something through the grass .
112	A black dog has a blue toy in its mouth .
113	A dog in grass with a blue item in his mouth .
114	A wet black dog is carrying a green toy through the grass .
115	A man and a baby are in a yellow kayak on water .
116	A man and a little boy in blue life jackets are rowing a yellow canoe .
117	A man and child kayak through gentle waters .
118	A man and young boy ride in a yellow kayak .
119	Man and child in yellow kayak
120	A black dog and a brown dog are jumping up to catch a red toy .
121	A black dog and a brown dog play with a red toy on a courtyard .
122	A brown and black lab are outside and the black lab is catching a toy in its mouth .
123	Black dog snaps at red and black object as brown dog lunges .
124	The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .
125	A boy with a stick kneeling in front of a goalie net
126	A child in a red jacket playing street hockey guarding a goal .
127	A young kid playing the goalie in a hockey rink .
128	A young male kneeling in front of a hockey goal with a hockey stick in his right hand .
129	Hockey goalie boy in red jacket crouches by goal , with stick .
130	A man in black is sitting next to a modern art structure in front of a glass building .
131	A man sits and reads a newspaper by a sculpture outside of an office building .
132	a man sits near a large statue .
133	A man sitting in front of a metal sculpture in front of a building .
134	The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
135	A tent is being set up on the ice .
136	Two men are about to enter an ice fishing tent on a snow covered lake .
137	two men setting up a blue ice fishing hut on an iced over lake
138	Two men , standing on an ice , looking into something covered with a blue tarp .
139	Two people standing outside a blue tent structure on a snowy surface .
140	A woman crouches near three dogs in a field .
141	Three dogs are playing on grassy hill with a blue sky .
142	Three dogs are standing in the grass and a person is sitting next to them
143	Three dogs on a grassy hill
144	Three dogs stand in a grassy field while a person kneels nearby .
145	a man is standing in front of a skyscraper
146	A man stands in front of a skyscraper .
147	A man stands in front of a very tall building .
148	Behind the man in a red shirt stands a large skyscraper .
149	There is a skyscraper in the distance with a man walking in front of the camera .
150	A boy bites hard into a treat while he sits outside .
151	A child biting into a baked good .
152	A small boy putting something in his mouth with both hands .
153	The boy eats his food outside at the table .
154	The boy is eating pizza over a tin dish .
155	People sit on the mountainside and check out the view .
156	Three people are on a hilltop overlooking a green valley .
157	Three people hang out on top of a big hill .
158	Three people overlook a green valley .
159	Three people rest on a ledge above the moutains .
160	A boy in a green shirt is looking down at many inflatable boats .
161	A boy in a green shirt watches kayakers .
162	A boy looks over a railing at the many boats and rafts below in the water .
163	A young boy overlooking a crowd of inflatable boats .
164	A young boy wearing a jersey looks down over a ledge at many boats in the water .
165	A man and woman pose for the camera while another man looks on .
166	A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
167	A multiracial couple posing for a picture
168	Asian man and blond woman holding hands outdoors , man in background watches .
169	Guy in blue shirt biting hand of girl in black striped jacket while another guy watches
170	A person eats takeout while watching a small television .
171	A person sits on the floor and eats in front of a television .
172	A television with a picture of a girl on it .
173	A young man sits on the floor by the television with a fast food meal in front of him .
174	Someone is laying in front of the TV eating food .
175	a couple of several people sitting on a ledge overlooking the beach
176	A group of people sit on a wall at the beach .
177	A group of teens sit on a wall by a beach .
178	Crowd of people at the beach .
179	Several young people sitting on a rail above a crowded beach .
180	A boy takes a jump on his skateboard while another boy with a skateboard watches .
181	A child is performing a skateboard trick while another child with a skateboard leans on a wall .
182	A little boy skateboarder is doing a trick on his board while another young skateboarder watches .
183	a young boy skateboarder jumping on a platform on a skateboard .
184	Two skateboarders .
185	A girl paddling down a large river , as seen from behind her .
186	A woman kayaking down a river .
187	A woman paddles a boat down a river .
188	A woman with a paddle .
189	A woman with a paddle sits in a boat on the water .
190	A girl in pigtails splashes in the shallow water .
191	A girls plays in the surf .
192	a girl with pigtails is playing in the ocean by the beach .
193	A girl with pigtails plays in the water .
194	A young girl in pigtails plays in the water .
195	A group of four children wearing pajamas have a pillow fight .
196	A group of kids have a pillow-fight .
197	A group of young children playing pillow fight on a bed .
198	Children having a pillow fight .
199	Four children are having a pillow fight .
